รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,จัดการเรียนการสอนที่ศูนย์แม่ริม,ระดับรายได้,target,ปัจจัยสถาบันการศึกษา(avg),ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร(avg),ปัจจัยในการตัดสินใจ(avg),ปัจจัยด้านเหตุผลส่วนตัว(avg),ปัจจัยด้านสื่อและการประชาสัมพันธ์(avg)
"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.5,4.5,4.25,2.6,4.0
"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล                          ข้อเสนอแนะ  มีรถรับส่งด้วย,4,1,3.0,3.0,3.0,2.4,3.0
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.333333333333333,5.0,4.0,3.8,4.8
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  มีการอนุญาตให้ใช้รถจักรยานยนต์ส่วนตัว,1,0,4.166666666666667,4.0,3.5,3.2,3.2
"20,001-30,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.166666666666667,3.6666666666666665,3.5,4.0,3.6
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,,1,1,3.6666666666666665,3.6666666666666665,3.0,2.6,3.4
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.5,4.166666666666667,3.75,3.8,5.0
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ข้อเสนอแนะ  อาจจะไปแค่บางช่วงดีกว่า,2,1,4.166666666666667,4.0,5.0,3.4,4.0
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.6666666666666665,3.8333333333333335,3.25,3.8,4.0
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  อยากมีบริการรับส่ง,2,0,3.3333333333333335,4.833333333333333,3.25,2.6,4.0
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,3.6666666666666665,3.5,3.4,4.0
"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.3333333333333335,3.5,3.25,3.4,3.4
"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  รถรับส่งฟรี,1,0,4.333333333333333,4.666666666666667,3.75,4.2,4.2
"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,3.6666666666666665,4.5,5.0,2.6,3.2
