รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,จัดการเรียนการสอนที่ศูนย์แม่ริม,ระดับรายได้,target,ปัจจัยสถาบันการศึกษา(avg),ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร(avg),ปัจจัยในการตัดสินใจ(avg),ปัจจัยด้านเหตุผลส่วนตัว(avg),ปัจจัยด้านสื่อและการประชาสัมพันธ์(avg)
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ,1,1,4.833333333333333,4.5,5.0,5.0,4.8
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.0,4.166666666666667,4.25,4.4,4.2
"20,001-30,000 ",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.333333333333333,4.166666666666667,3.0,3.4,3.4
"30,001 ขึ้นไป",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,4.5,4.333333333333333,3.75,3.4,3.6
"10,001-20,000",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ระยะทางไกล,2,1,3.8333333333333335,4.166666666666667,3.5,3.4,4.2
"10,001-20,000",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ระยะทางไกล,2,1,3.1666666666666665,4.0,3.75,1.6,3.4
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.333333333333333,4.166666666666667,5.0,2.6,3.0
"30,001 ขึ้นไป",ชีววิทยา,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  คิดว่ายากต่อการใช้ชีวิต   ด้วยความที่อยู่นอกเมือง คิดว่าอาจะลำบาก,4,1,3.6666666666666665,4.166666666666667,4.75,4.6,4.4
"10,001-20,000",ชีววิทยา,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก อยู่ไกลจากตัวเมืองและต้องย้ายหอพัก เพิ่มภาระผู้ปกครอง
ข้อเสนอแนะ แม่ริมอยู่นอกตัวเมือง มีความสะดวกสบายเรื่องการขนส่งสาธารณะน้อย  แถมยังมีระยะทางที่ไกล ภายในมหาวิทยาลัยไม่ค่อยมีความพร้อม ( ไปดูมาแล้ว ) มีร้านค้า  หอักต่าง ๆ น้อย  รวมถึงตลาดน้อยมากไม่เพียงพอจะรองรับนักศึกษาทั้งมหาวิทยาลัยขนาดนั้น  ขอให้คิดอีทีให้ถี่ถ้วน  อาจจะมีผลดีแต่ผลเสียมากกว่า",2,1,3.5,3.1666666666666665,3.75,2.0,3.6
"10,001-20,000",ชีววิทยา,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.333333333333333,4.5,3.5,2.6,4.8
"10,001-20,000",ชีววิทยา,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.1666666666666665,4.833333333333333,5.0,1.8,2.4
"10,001-20,000",ชีววิทยา,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,4.0,4.0,4.0,4.0
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.3333333333333335,4.0,3.0,2.6,2.8
"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากตัวเมือง  เดินทางไม่สะดวก  ที่พักอาศัย
ข้อเสนอแนะ ย้ายไปเมื่อพร้อม         ( บางตึกยังสร้างไม่เสร็จ )",4,1,4.0,4.0,4.0,2.2,4.0
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากตัวเมือง ที่พักหายาก การเดินทางค่อนข้างไกลจากตัวเมือง
ข้อเสนอแนะ ย้ายไปเมื่อพร้อม          บางตึกยังสร้างไม่เสร็จ ",2,1,4.0,4.0,4.0,2.2,4.0
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.1666666666666665,3.3333333333333335,2.75,2.8,2.8
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.5,3.8333333333333335,3.0,3.0,3.6
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.5,4.333333333333333,2.0,3.0,3.0
"20,001-30,000 ",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.0,4.0,4.0,4.0,4.0
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  เพราะไม่อยากย้ายหอ,1,1,4.166666666666667,4.5,4.0,4.0,4.6
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.833333333333333,4.666666666666667,5.0,4.6,4.2
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.3333333333333335,4.0,3.5,3.6,4.0
"20,001-30,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.5,4.333333333333333,3.0,2.2,2.8
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.3333333333333335,3.0,3.0,3.2,2.6
"10,001-20,000",วิทยาการคอมพิวเตอร์,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ อยากให้เปิดศูนย์แม่ริมเร็วๆ เนื่องจากบ้านผมอยู่ใกล้ จะได้ช้วยลดค่าใช้จ่าย",2,0,4.0,3.3333333333333335,3.25,2.2,3.0
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.1666666666666665,3.6666666666666665,3.0,2.0,2.8
"10,001-20,000",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกล เดินทางไม่สะดวก,2,1,3.8333333333333335,3.5,3.75,3.6,4.0
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ในเมืองมีความสะดวกสบายมากกว่า,1,1,4.0,4.833333333333333,4.0,3.8,4.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ห่างไกล ยากต่อการใช้ชีวิต,2,1,3.8333333333333335,4.666666666666667,3.5,1.8,4.6
"30,001 ขึ้นไป",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,3.0,3.0,3.0,3.0,3.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,4.0,4.0,4.0,4.0
"30,001 ขึ้นไป",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,4.166666666666667,4.166666666666667,4.25,4.0,5.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไป,2,1,3.8333333333333335,3.5,3.5,4.0,4.6
"10,001-20,000",ชีววิทยา,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไป  หอพักอยู่ในตัวเมือง  เดินทางไม่สะดวก,2,1,3.5,3.6666666666666665,2.5,2.4,2.8
"10,001-20,000",ชีววิทยา,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  การเดินทาง,2,1,4.0,4.166666666666667,3.75,4.4,4.8
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.6666666666666665,3.3333333333333335,1.5,1.4,2.4
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่สะดวกในการอยู่หอ,2,1,5.0,4.833333333333333,4.75,4.8,5.0
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.6666666666666665,4.0,3.25,3.0,3.2
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.5,3.6666666666666665,3.5,3.4,3.2
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.333333333333333,4.0,3.5,2.4,3.2
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.6666666666666665,3.8333333333333335,3.0,3.4,3.8
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  การเดินทางไม่สะดวกและใช้เวลานาน,2,1,4.0,3.8333333333333335,3.75,3.0,3.2
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่มีที่พักที่แม่ริม,2,1,2.8333333333333335,3.3333333333333335,1.5,1.8,2.2
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.166666666666667,4.333333333333333,4.0,4.0,4.8
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.833333333333333,5.0,5.0,3.2,4.6
"10,001-20,000",        คหกรรมศาสตร์           (การออกแบบแฟชั่นและสิ่งทอ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่สะดวกต่อการเดินทาง  ถ้าหากไปพักที่ศูนย์แม่ริมไม่มียานพาหนะในการเดินทาง,2,1,4.166666666666667,3.6666666666666665,4.5,1.6,2.6
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,4.0,3.25,3.0,3.8
"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไป ไม่อยากไปเลย ไกลบ้าน,3,1,4.166666666666667,4.333333333333333,4.0,4.2,4.2
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไป ไม่อยากเลย,2,1,4.333333333333333,4.666666666666667,3.75,4.6,4.4
"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากบ้าน  ต้องเช่าหอ
ข้อเสนอแนะ จัดหาหอพักให้นักศึกษา",3,1,3.1666666666666665,3.3333333333333335,3.75,3.6,3.6
"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,3.5,4.166666666666667,3.5,3.4,3.4
"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.8333333333333335,3.6666666666666665,3.25,3.4,3.4
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.666666666666667,4.5,4.25,4.4,4.2
"10,001-20,000",สาธารณสุขชุมชน,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ,2,1,4.666666666666667,5.0,5.0,3.4,5.0
"10,001-20,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.8333333333333335,4.5,3.25,2.6,4.0
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.0,4.0,3.75,1.8,2.6
"30,001 ขึ้นไป",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,5.0,5.0,5.0,4.6,5.0
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  เดินทางลำบาก  ไกลเกินไป ,1,1,5.0,5.0,4.25,5.0,4.8
"10,001-20,000",สาธารณสุขชุมชน,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ อยากให้สะดวกต่อการเดินทางไปมหาวิทยาลัย",2,0,3.5,4.166666666666667,4.25,1.6,2.8
"10,001-20,000",สาธารณสุขชุมชน,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  เดินทางลำบาก  ไกลเกิน ,2,1,4.0,4.0,4.0,4.0,3.8
"10,001-20,000",สาธารณสุขชุมชน,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  เดินทางลำบาก   ,2,1,4.166666666666667,5.0,3.5,4.2,5.0
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ข้อเสนอแนะ  มีรถรับส่ง,1,1,4.5,3.6666666666666665,4.5,4.8,5.0
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ต้องหาที่อยู่หรือหอพักใหม่  ,2,1,4.333333333333333,4.166666666666667,2.5,2.4,3.6
"30,001 ขึ้นไป","คณกรรมศาสตร์
(การออกแบบแฟชั่นและสิ่งทอ)",ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,4.166666666666667,4.333333333333333,4.0,3.2,3.2
"ไม่เกิน 10,000","คณกรรมศาสตร์
(การออกแบบแฟชั่นและสิ่งทอ)","ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่สามารถขนของและหารถรับส่งไปที่ศูนย์
ข้อเสนอแนะ  บริการขนส่งนักศึกษาที่ไม่สามารถย้ายไปศูนย์แม่ริมได้  ",1,1,2.3333333333333335,3.5,1.5,1.8,3.6
"20,001-30,000 ","คณกรรมศาสตร์
(การออกแบบแฟชั่นและสิ่งทอ)",ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.0,3.8333333333333335,3.5,3.4,3.8
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.166666666666667,4.833333333333333,2.75,1.6,3.0
"ไม่เกิน 10,000",การออกแบบผลิตภัณฑ์,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลไปนิดนึง
ข้อเสนอแนะ อยากให้มีรถไปรับไปส่ง ฟรี",1,1,3.8333333333333335,4.0,3.0,3.0,3.4
"20,001-30,000 ",วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,2.8333333333333335,2.8333333333333335,3.25,2.2,3.8
"ไม่เกิน 10,000",วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก พื้นที่ค่อนข้างไกลเดินทางไปยาก,1,1,3.3333333333333335,4.333333333333333,2.5,1.4,4.0
"10,001-20,000",วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.666666666666667,5.0,3.75,4.8,5.0
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.8333333333333335,3.3333333333333335,3.0,3.4,3.0
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.0,3.5,3.5,3.4,4.0
"10,001-20,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.5,3.8333333333333335,3.5,3.6,3.4
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.166666666666667,3.0,3.0,3.0,3.8
"10,001-20,000",สาธารณสุขชุมชน,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ ป่าเยอะไปหน่อยค่ะ",2,0,5.0,5.0,5.0,5.0,5.0
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.5,4.0,4.0,4.6,3.8
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.8333333333333335,4.0,2.75,3.6,4.4
"10,001-20,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.8333333333333335,4.333333333333333,3.5,3.4,4.0
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.8333333333333335,3.8333333333333335,3.25,2.8,3.8
"10,001-20,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.666666666666667,5.0,4.5,1.6,4.2
"20,001-30,000 ",สาธารณสุขชุมชน,ข้อเสนอแนะ บ้านไกลจากเวียงบัว,3,1,4.333333333333333,4.166666666666667,4.25,4.0,3.0
"10,001-20,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.0,3.8333333333333335,2.75,3.0,2.6
"10,001-20,000",สาธารณสุขชุมชน,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  อยากอยู่ในตัวเมือง,2,1,3.5,3.8333333333333335,3.0,3.2,3.8
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.5,4.0,3.75,3.8,4.2
"ไม่เกิน 10,000",สาธารณสุขชุมชน,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.6666666666666665,4.666666666666667,3.0,2.8,3.0
"10,001-20,000",ออกแบบผลิตภัณฑ์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไปเดินทางไม่สะดวก,2,1,3.8333333333333335,3.6666666666666665,2.75,3.0,3.8
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ปัจจัยหลายๆ อย่าง,1,1,3.5,3.6666666666666665,3.0,2.6,3.0
"20,001-30,000 ",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่อยากย้ายไปไกลจากตัวเมือง,3,1,3.3333333333333335,3.6666666666666665,2.25,2.0,3.4
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  บ้านอยู่ไกล  พ่อแม่ไม่อยากให้อยู่หอพัก,2,1,3.6666666666666665,3.5,2.25,1.8,4.2
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.333333333333333,4.833333333333333,3.0,3.2,4.6
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  เดินทางไม่ค่อยสะดวก,2,1,4.333333333333333,4.666666666666667,3.5,2.8,4.0
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไปและไม่สะดวก,1,1,3.8333333333333335,4.166666666666667,2.75,2.6,2.0
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.333333333333333,3.6666666666666665,3.75,2.4,3.4
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.666666666666667,4.5,4.5,5.0,3.6
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,2.8333333333333335,3.0,1.5,1.8,3.0
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.0,3.5,2.0,1.4,3.2
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.6666666666666665,3.8333333333333335,2.75,2.6,3.4
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ,1,1,3.8333333333333335,4.333333333333333,4.0,2.4,3.4
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.333333333333333,4.166666666666667,4.25,3.8,4.2
"30,001 ขึ้นไป",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,4.5,4.5,4.0,3.2,3.6
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.3333333333333335,2.8333333333333335,3.0,2.6,3.0
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.6666666666666665,3.5,2.5,1.4,2.0
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.333333333333333,4.0,2.25,1.4,2.2
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.6666666666666665,3.8333333333333335,3.0,3.8,4.4
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.1666666666666665,4.166666666666667,3.5,3.0,3.2
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  อยากให้ที่ศูนย์แม่มริมมีงานทำ",1,0,3.5,3.6666666666666665,3.0,1.6,3.6
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากบ้าน,2,1,4.166666666666667,4.0,3.75,4.0,3.8
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  บ้านอยู่ไกล  ไม่ได้อยู่หอ ค่าใช้จ่ายเยอะ,2,1,3.1666666666666665,3.8333333333333335,3.0,2.4,3.8
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ข้อเสนอแนะ  ไม่อยากเจอดินแดง  ในป่า  อยากอยู่ในตัวเมือง แต่ก็ไปเรียนที่ศูนย์แม่ริมได้,1,1,3.8333333333333335,2.8333333333333335,2.75,1.6,1.6
"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.0,4.0,4.0,4.0,4.0
"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,4.166666666666667,4.333333333333333,4.5,4.8,4.8
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,4.0,3.0,3.2,4.0
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.1666666666666665,3.3333333333333335,3.0,3.2,3.4
"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  ขอให้มีการสอนที่มั่นคง ไม่ย้ายไปย้ายมา",1,0,3.6666666666666665,3.0,3.0,3.2,3.0
"20,001-30,000 ",เทคโนโลยีสารสนเทศ,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  ขอให้ในวันศุกร์มีคาบว่าง ตั้งแต่เที่ยงไปถึงบ่าย",3,0,2.8333333333333335,3.6666666666666665,2.25,1.4,1.2
"30,001 ขึ้นไป",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลบ้านเดินทางลำบาก,4,1,5.0,5.0,2.0,1.8,4.2
"20,001-30,000 ",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.5,3.0,3.0,3.4,3.4
"10,001-20,000",วิทยาการคอมพิวเตอร์,ข้อเสนอแนะ  ไม่ค่อยอยากไปไกลเมืองเท่าไหร่,2,1,3.0,3.1666666666666665,2.5,2.2,3.0
"30,001 ขึ้นไป",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,3.8333333333333335,4.0,4.0,3.8,4.0
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.5,5.0,4.5,2.6,4.0
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.666666666666667,5.0,4.75,4.4,4.6
